Title,Location,Description,Additional Information,Views,Applications,Filtered Technologies
Middle data engineer (python),"['Relocate', 'Ukraine', 'Latvia']","привіт! thewhykingz не стоїть на місці, ми знову маємо нові цілі і безліч крейзі ідей, а тому розширюємось!у нас круті завдання, амбітні плани, класна, комфортна корпоративна культура, і ми розширюємося.запрошуємо до себе у команду middle data engineer (python).необхідні навички:— 2+ роки досвіду комерційної розробки— підтримка і оптимізація elt— мова програмування: python 3.9+— database— знання linux-подібних операційних систем, macosякі у нас приємності:— конкурентний рейт з щорічним переглядом;— офіційне працевлаштування + внж для вас та вашої сімʼї;— медичне страхування (в т.ч. стоматологія), компенсація житла, компенсація спортивного залу, англійська за рахунок компанії;— 100% оплата sick-day & 20 робочих днів відпустки;— комфортне робоче місце у центрі риги;— сучасна та якісна робоча техніка;— тeam-building заходи для співробітників;— бюджет на розвиток;— грошові подарунки до дня народження та інші визначні дати.хайрінг процес:- телефонне інтервю з hr, детально зорієнтуємо по вакансії;— співбесіда з тімлідом та керівником відділу.якщо ти відчуваєш метч з цією вакансією — надсилай нам резюме з зарплатними очікуваннями!","['Product', 'Office or Remote', '3 years of experience', 'Pre-Intermediate']",92,30,['PYTHON']
Junior Python dev,['Ukraine'],"«involve» - it-компанія, з продуктовим підходом, орієнтована на реалізацію якісних fintech-продуктів, їх подальшу технічну підтримку та вдосконалення.   знаходимось у пошуку junior python developer на наш найголовніший проєкт - платіжна система.   в пошуку кандидата з критичним мисленням та бажанням розвиватись. основні вимоги:- впевнені знання мови python;- досвід роботи с web фреймворками для мови python (flask в пріоритеті);- розуміння роботи протоколу http;- досвід роботи с реляційними субд (postgresql, але можуть бути й інші схожі продукти);- впевнені знання sql;- досвід роботи с git-ом;- досвід написання юніт-тестів.задачі, які потрібно буде вирішувати:- розробка нових, так і підтримка старих фінтех проектів;- розвиток проектів;- закриття технічного боргу, вивчення нових технологій та підходів у розробці.у свою чергу пропонуємо:- реалізація потенціалу, підтримка ініціативи;- кваліфікований ментор;- знижка для співробітників у мед. центрі;- оплачувана відпустка та лікарняні без обмежень у днях;- цікаві та інноваційні проєкти;- корпоративні курси англійської.","['Product', 'Office or Remote', '1 year of experience']",524,201,['PYTHON']
Senior Python Developer,['Ukraine'],"applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargate","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",37,0,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Senior Python Developer (5+ years of exp),['Ukraine'],"project description:applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargatelanguages:english: b2 upper intermediate","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",14,1,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Team Lead Python Software Engineer (Machine Learning experience),['Ukraine'],"we are currently operating as a product company. we develop solutions for vc (venture capitalists) firms from the inside (vc firm from silicon valley is a co-founder of the company). we create ai assistant tools tailored to the needs of professional investors, analysts, and venture partners. this is a full-fledged product experience.we are looking for an experienced team lead software engineer who wants to tie his/her life to creating new tools for human productivity. in search of someone fearless of significant engineering challenges and ready to develop solutions only written about on arxiv.org. you can structure development processes as best as you know from the beginning. you will be able to demonstrate your best engineering skills and build a complex system from scratch.skills:- strong proficiency in the python (django and fastapi) ecosystem and previous hands-on experience as an integration software engineer (6+ years of commercial experience);- demonstrated experience leading and managing a team of engineers, providing technical guidance, and fostering a collaborative environment (2+ years);- strong knowledge of agile methodologies and project management practices;- solid expertise in working with rest/graphql apis, postgresql, and integrating various systems and services;- solid expertise in working with caching mechanisms using redis or memcached and with message queue systems rabbitmq, kafka;- familiarity with distributed systems, containerization, and modern devops practices (e.g., k8s, docker, ci/cd);- excellent english communication skills, both written and verbal, to effectively collaborate with cross-functional teams and stakeholders;- experience with project work in deep learning/computer vision/nlp/signal processing.will be plus:- hands-on experience with langchain, autogpt, or agentgpt;- experience with nlp;- knowledge of core concepts for llm: toolformer, react, rag, reflection;- experience in data engineering;- experience in developing saas platforms, crm, and erp systems.responsibilities:- lead a team of developers in the development, coding, testing, and debugging of applications;- mentor team members and ensure they adhere to determining software quality standards;- being transparent with the team about challenges, failures, and successes;- determining project requirements and developing work schedules for the team;- plan and document technical specifications for features or system design;- design and implementation of services, microservices, and apis;- software development of application backend and all underlying services;- write python code to help implement ai/ml applications;- actively research the latest ai/ml approaches.what we offer:- product team: you will collaborate with the team and ceo directly;- we have strong bakers and advisers. principal engineers from amazon, facebook, advised us.;- the opportunity to get an option as an early employee of the company;- autonomy. you have kpis and goals, and you are looking for ways to achieve them;- we have a competitive bonus system;- fully remote work;- free group english lessons;- team building events (4 times a year corporate events);- 21 days of annual vacation, the family leaves, 15 paid sick leaves;- pe accounting support.","['Product', 'Full Remote', '5 years of experience', 'Upper-Intermediate']",32,4,"['POSTGRESQL', 'REST', 'REDIS', 'PYTHON', 'APIS', 'DOCKER', 'GRAPHQL', 'REACT']"
Senior Python Developer,['Ukraine'],"project description:applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargate","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",11,1,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Senior Python Developer,['Ukraine'],"applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargatelanguages:english: b2 upper intermediate","['Full Remote', '5 years of experience', 'Upper-Intermediate']",15,0,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Senior Python Developer (5+ years of exp),['Ukraine'],"applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargatelanguages:english: b2 upper intermediate","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",14,0,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Senior Python Developer (5+ years of exp),"['Ukraine', 'Dnipro', 'Kyiv', 'Lviv', 'Odesa']","project description:applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. our client is a professional investment management organization that globally invests the funds to ensure long-term sustainability. the company invests in all major asset classes, including public equity, private equity, real estate, infrastructure and fixed-income instruments, and currently has offices in toronto, london, hong kong, new york, são paulo, luxembourg and mumbai.client attracts and selects high-caliber individuals from top-tier institutions around the globe. join our team and look forward to:• diverse and inspiring colleagues and approachable leaders• stimulating work in a fast-paced, intellectually challenging environment• accelerated exposure and responsibility• global career development opportunities• being motivated every day by important social purpose and unshakable principles• a deeply rooted culture of integrity, partnership and high performanceif you share a passion for performance, value a collegial and collaborative culture, and approach everything with the highest integrity, here's an opportunity.responsibilities:in this project, you will work on a total funds management platform used for managing overlay risk across the pension's holdingsmanage timelines/deliverables within the team towards the successful delivery of projects. design software solutions by interacting with portfolio managers, traders, operations staff and peers to understand requirements. develop solutions that are in line with client's technology biases, deliver efficiency and scalability, and enable new trading activities. provide knowledge transfer to team members and support staff through application demos, walkthroughs, and documentation. provide end-user support to ensure minimal disruption to portfolio management and trading activities. other duties as assigned.mandatory skills description:• university degree in engineering or computer science preferred.• excellent communication with experiences working with direct users to collect/discuss complex business requirements• excellent communication within the development team, ability to highlight risks, delays and propose efficient solutions• experience working in agile / scrum teams, experience with agile development practices• python flask, pandas, 5+ years• good knowledge of sql, ability to manipulate data and write complex data queries for 2+ years. experience with aws aurora (postgresql) would be a plus• ci/cd jenkins, urban code 2+ yearsnice-to-have skills:• experience in angular js or similar framework 2+ years• sqlalchemy, pylint, pynose, gulp 2+ years• virtualenv, anaconda pkgs / pypi 2+ years• knowledge in cloud-based and serverless (aws) stack• linux, aws ecs, aws lambda, ecs fargatelanguages:english: b2 upper intermediate","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",28,0,"['ANGULAR', 'JENKINS', 'SQL', 'FLASK', 'PANDAS', 'PYTHON', 'AWS']"
Middle Python developer (Crypto),['Ukraine'],"«involve» - компанія орієнтована на надання іт-послуг і розробку продуктових рішень. експертиза: fintech, blockchain, machine learning, medtech.   зараз знаходимось у пошуку middle python dev на наш крипто-проєкт (агригатор криптовалют який працює з блокчейнами і взагалі покриває всю роботу з криптою).    шукаємо мотивованого кандидата, який не боїться цікавих викликів, який має досвід роботи з криптовалютою, не просто трейдинг, та знає як працювати з блокчейнами.основні вимоги:- від 2-х років досвіду в фінтех компанії;- впевнене знання python;- досвід з flask, flask-admin, asyncio, docker, k8s, gitlab ci, postgresql, mongodb;- розуміння базових шаблонів будівлі сервісів;- вміння оптимізації та оцінки складності алгоритмів;- розуміння роботи блокчейнів (bitcoin, ethereum, tron, etc.).буде плюсом:- досвід роботи з bitcoinrpc, web3, tronpy;- навички у написанні смарт-контрактів, solidity.задачі, які потрібно буде вирішувати:- розробка та підтримка сервісу-агрегатора криптовалют;- розробка та впровадження смарт-контрактів;- оптимізація існуючих процесів;- покриття тестами написаного коду;- документування (тезовий опис) реалізованого функціоналу.у свою чергу пропонуємо:- реалізація потенціалу, підтримка ініціативи;- начання, передача досвіду від ментора;- знижка для співробітників у мед. центрі;- оплачувана відпустка та лікарняні без обмежень у днях;- цікаві та інноваційні проєкти;- корпоративні курси англійської.","['Product', 'Office or Remote', '2 years of experience']",98,18,"['POSTGRESQL', 'FLASK', 'GITLAB', 'DOCKER', 'PYTHON']"
Python (Django) Developer,"['Ukraine', 'Kyiv']","we seek a highly motivated and experienced python developer to join our growing team. you will be responsible for designing, developing, and maintaining complex software solutions in python. you will work closely with the development team to ensure timely delivery of high-quality software products.about the project: cutting-edge technology projects that provides innovative solutions for the waste management industry: cutting-edge platform that helps customers efficiently manage their waste and reduce their environmental impact. what you will do:design, develop and maintain complex software solutions using python.write clean, scalable, and maintainable code.work closely with cross-functional teams to define, design, and ship new features.perform code reviews and ensure adherence to coding standards.stay up-to-date with the latest technology trends and best practices.requirements: 3+ years of developing commercial projects using python and djangoexperience with database design and managementability to work with the databases (not only through orm)excellent problem-solving and analytical skills.upper-intermediate english levelexperience with agile methodologies wll be a plus.we offer: challenging projects with cutting edge technologieshighest development standarda talented and skilled team with cross-domain expertisecompetitive salary in usdpaid vacation and sick leavesmedical insurancepe accounting and supportfriendly atmosphere to rest and share knowledge.","['Office or Remote', '3 years of experience', 'Upper-Intermediate']",133,38,"['REST', 'PYTHON']"
Middle/Senior Python Developer,['Ukraine'],"due to the increase in the number of tasks on the project, we are looking for a strong python developerdevelopment experience:- write api's- python scripts- can work on django framework- can build web application- can troubleshoot existing application- will be available on video or audio call when we needwill be a plus:- work on aws services- work on lambda functionsenglish: intermediate strong coding guidelines:- pep 8- naming conventions- indentation and whitespace- comments- modular and reusable code- code reuse- error handling and exception handling- documentation- testing- code organization and project structure- performance optimization- use of libraries and toolsclient: israel team: 5 developersproject description:the main project is the b2b segment of data analytics for companies involved in the insurance sector. the basis of the project is the integration of ai on the backend, python is used on the technology stack.main technologies:python sql & nosql postgresdjango rest api dockertech interview can include live coding.","['Full Remote', '3 years of experience', 'Intermediate']",51,24,"['DJANGO', 'SQL', 'REST', 'PYTHON', 'AWS']"
Lead Generative AI Data Scientist,"['Ukraine', 'Kyiv']","ми шукаємо керівника відділу штучного інтелекту, який відповідатиме за створення чіткої стратегії штучного інтелекту, керування її виконанням і виховання культури готовності до штучного інтелекту в нашій команді. оскільки генеративний штучний інтелект є одним із наших головних пріоритетів, ви відіграватимете вирішальну роль у формуванні майбутнього напрямку пропозицій програмного забезпечення нашої компанії.requirements:• 5+ років досвіду розробки корпоративного програмного забезпечення, з 1-2 роками на посаді керівника команди;• знання програмування на мовах типу python, java або інших мовах, які використовуються в області штучного інтелекту;• розуміння хмарної інфраструктури (aws, google cloud тощо);• досвід роботи з однією або кількома з наступних технологій go/node/jvm/es6;• широкі знання технологій штучного інтелекту та машинного навчання, з особливим акцентом на генеративному штучному інтелекту;• досвід розробки продукту та управління інтеграцією технологій штучного інтелекту в продукти;• досвід керівництва проектами та відмінні навички спілкування та командної роботи.tasks:• визначення стратегії розвитку проєктів зі штучного інтелекту та прийняття ключових рішень;• аналіз вимог та розробка алгоритмів для завдань машинного навчання та глибокого навчання;• участь у процесі розробки, тестування та оптимізації моделей штучного інтелекту.• визначення потенційних областей застосування штучного інтелекту для покращення продуктів і оптимізації бізнес-процесів;• досліджувати новітні тенденції та досягнення в області штучного інтелекту та машинного навчання, застосовуючи їх до конкретних проектів;• розробляти алгоритми та моделі машинного навчання для вирішення складних завдань;• оцінювати якість та ефективність розроблених рішень та вносити корективи за необхідності;• брати участь у технічних обговореннях та обміні знань із колегами.","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",19,2,['PYTHON']
Senior Back-end Developer (Python),['Ukraine'],"stack: python 3.11, postgresql, aws services, aws lambdagrow with us:• 5+ years on the global market• 500+ professionals (over the past year we have grown 2 times)• 5+ apps• 200m downloads• our applications are sold all over the world with a focus on the usa, latin america, europe, and we are actively entering the asian marketschallenges you’ll meet:• building new web services from scratch• creating and supporting tools for business process automation• working with public ai apis (openai, midjourney etc.)• working with the core aws services (aws lambda/api gateway/sqs/cloudformation/cloudwatch/sns/redshift)your professional qualities:• 4+ years of experience in python development• strong knowledge of relational dbs (we use postgresql)• experience with any cloud providers (aws or etc. (gcp, azure))• understanding of and the ability to work with unix systemsnice to have:• experience with aws (sqs/rds/eks/lambda/fargate)• experience with django• experience with data engineering tools (apache airflow)• experience working with front-end frameworks (vue/angular/react)in our team, we value:• autonomy. the ability to work without additional monitoring, the ability to find solutions independently• responsibility. independence, willingness to assume obligations and deliver as promised• proactivity. ability to set goals and work to achieve them. creating opportunities without waiting for them to appear• communication. team updates, regular communication with the work group on current projects in writing (chats) and verbally (stand-ups and other meetings). openness to communication. ability to formulate a task clearly and concisely• focus on development and self-study. interest in innovations in technology. continuous desire to learn and develop skills, to gain new experiencewe create comfortable conditions for cooperation focused on your rhythm of life, work and rest and offer:well-being• organization of medical insurance• you will have an opportunity to use our mobile applications for free (yoga, running, fitness)• individual budget for sports / equipment purchase• individual budget for consultations with a psychologistgrowth and development• individual budget for professional training and learning foreign languages• online corporate library• team of skilled professionals that share knowledge and support each othercheck out some of our products:• muscle booster — musclebooster.fitness• yoga-go — yoga-go.fit• fitcoach — fitcoach.fit• walkfit — walkfit.pro• omo — bit.ly/omoiocandidate journey: ⭕️ intro call ---- ⭕️ interview ---- ⭕️ final interviewas a part of our team, you’ll have the opportunity to develop and implement your own ideas, while helping make the world a better place!","['Product', 'Office or Remote', '3 years of experience', 'Intermediate']",81,21,"['POSTGRESQL', 'ANGULAR', 'REST', 'APIS', 'PYTHON', 'AWS']"
Middle/Senior Python+JS developer,['Ukraine'],"responsibilities:- development of the important platform’s components.- participation in planning and estimation sessions.- proactive position in platform evolvement, technical solutions, etc.- building solutions from scratch.- transformation of the requirements to a set of unit tests.- code review.requirements:-python - experience: 3+ years-knowledge of javascript would be a plus - english: intermediate and higher- excellent communication skillswe offer:- short hiring process (2 interviews)- long term contract","['Full Remote', '3 years of experience', 'Upper-Intermediate']",73,17,['JAVASCRIPT']
"Junior / Middle Software Engineer (Python, C++)",['Ukraine'],"we’re in search of a passionate junior / middle software engineer ready to skyrocket their career in the realm of ai. as we endeavor to create the premier conversational speech generation model, we’re keen on adding members who can match the vigor and expertise of our robust team. if you’re up for the challenge and eager to collaborate with some of the brightest minds in ai, we want to hear from you!why choose us?— world-class talent: our dynamic team boasts of seasoned professionals, some of whom have honed their skills at meta ai and other faang companies.— global exposure: engage with a diverse international team, offering a wealth of global perspectives. we’re not just spread across the globe, we’re connecting the world through ai!— cutting-edge projects: be part of pioneering ai endeavors, contributing directly to groundbreaking projects that will define the future.responsibilities:— collaborate with the ai team to develop, test, and deploy ai algorithms and models.— design and implement software solutions that enhance ai capabilities.— participate in the entire software development lifecycle, from concept to deployment.— troubleshoot and optimize algorithms for performance and accuracy.— stay up-to-date with the latest ai trends, technologies, and best practices.requirements:— bachelor’s or master’s degree in computer science, engineering, or related field.— strong programming skills in languages such as python, and c++.— experience with data preprocessing, feature engineering, and model evaluation.— ability to work in a collaborative team environment and communicate effectively.— problem-solving mindset and a passion for staying at the forefront of ai technology.— strong experience in machine learning frameworks like pytoch, tensorflow, or jax.— upper-intermediate level of written and spoken english. our team is spread across the world.will be a plus:— participating in math/programming/physics competitions— previous experience with ai projects, coursework, or internships.— familiarity with cloud platforms and services for ai deployment and optimization.— github portfolio or contributions to open-source ai projects.we offer:— opportunity to become a specialist in the high-growth ai industry, working on the innovative ai project— full-time position, with the flexibility of remote work18 days of paid leave per year. healthy work-life balance— we are driven by a passion for delivering exceptional value, and excited to embark on this journey of building long-lasting relationships. we are open-minded and ready to exceed client expectations within the project.— collaborate, learn, and grow in a diverse and dynamic international team environment that values teamwork and embraces global perspectives.join us in shaping the future of ai technology and making a meaningful impact. if you’re a dedicated software engineer with a passion for ai, we invite you to apply and become a part of our innovative team.","['Product', 'Full Remote', '2 years of experience', 'Upper-Intermediate']",287,74,"['GITHUB', 'TENSORFLOW', 'PYTHON']"
Software Enginner/Freelance,"['Poland', 'Germany', 'Slovakia', 'Slovenia', 'Czechia']","the project is designed for 3 months.requirements: - python (django)- postgresql- nginx- redis- html (bootstrap)- jobs, queue- unix- web server setup / docker / ci/cd- selenium webdriver- data handling and validation:- skill in handling data validation, ensuring data accuracy, and handling potential errors or exceptions in data processing- browser knowledge:- strong understanding of different web browsers and their settings, as automation, can sometimes be browser-specific- data structures and algorithms:- sound knowledge of data structures and algorithms to optimize the automation process and handle large datasets efficiently- testing and debugging:- ability to create robust and reliable test cases and perform thorough testing and debugging of the automation scripts.","['Full Remote', '2 years of experience', 'Upper-Intermediate']",18,6,"['DOCKER', 'SELENIUM', 'PYTHON']"
Team Lead / Solutions Architect (Python/React ),"['United', 'States']","we are looking for an experienced full stack python/react engineer who is passionate about building saas applications and platforms and is ready to take on a leadership rolуas a team lead / solutions architect, you will be responsible for managing and mentoring a team of developers, designing and building the architecture of the platform, and ensuring software development adheres to the best practices.responsibilities:lead a team of developers in the development, coding, testing, and debugging of applicationsmentor team members and ensure they adhere to determining software quality standardsplan and document technical specifications for features or system designdesign and implementation of services, microservices, and apisensure the entire stack is scalable and up to modern standardssoftware development of application backend and all underlying servicespixel-perfect implementation of uiintegrate front-end components with backend endpointrequirements:proven success as a technical team leaderstrong knowledge of python and react frameworks (6+ years )understanding and practical experience with scrum / agile methodologiesexpertise in building microservices using chalice (serverless) frameworkproven experience developing serverless apis using aws lambda and api gateway (2+ years)experience in working with graphqlhands-on experience with opensearch / elasticsearch or similar search enginestrong experience in systems architecture design and developmentfamiliar with figma, datadog, slack, atlassian jira, and confluencestrong analytical and problem-solving skills, with good attention to detailexcellent oral and written communication skillsself-motivated, ability to work independentlyability to mentor other developersexperience writing application/api tests, ci/cd, and automated sdlc processesenglish - upper-intermediatebonus:strong aws experience is a plusexcellent problem-solving and ability to work independentlymicroservice and event-driven service design","['Full Remote', '5 years of experience', 'Upper-Intermediate']",22,3,"['AWS', 'REACT', 'PYTHON', 'APIS']"
